('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 0, Minibatch Loss= 112606.783854, Training Accuracy= 0.14667
Iter 1, Minibatch Loss= 80206.533854, Training Accuracy= 0.22000
Iter 2, Minibatch Loss= 65313.626302, Training Accuracy= 0.27333
Iter 3, Minibatch Loss= 57587.029948, Training Accuracy= 0.25333
Iter 4, Minibatch Loss= 52054.148437, Training Accuracy= 0.38000
Iter 5, Minibatch Loss= 48094.197917, Training Accuracy= 0.31333
Iter 6, Minibatch Loss= 36609.621745, Training Accuracy= 0.44000
Iter 7, Minibatch Loss= 35807.810547, Training Accuracy= 0.45333
Iter 8, Minibatch Loss= 30685.768880, Training Accuracy= 0.41333
Iter 9, Minibatch Loss= 30056.127604, Training Accuracy= 0.48000
Iter 10, Minibatch Loss= 24758.936849, Training Accuracy= 0.54000
Iter 11, Minibatch Loss= 18477.322266, Training Accuracy= 0.60000
Iter 12, Minibatch Loss= 19873.730794, Training Accuracy= 0.56000
Iter 13, Minibatch Loss= 16809.751953, Training Accuracy= 0.59333
Iter 14, Minibatch Loss= 14621.465495, Training Accuracy= 0.62000
Iter 15, Minibatch Loss= 10364.631673, Training Accuracy= 0.70000
Iter 16, Minibatch Loss= 9121.551758, Training Accuracy= 0.68000
Iter 17, Minibatch Loss= 9652.155599, Training Accuracy= 0.67333
Iter 18, Minibatch Loss= 9647.154622, Training Accuracy= 0.68667
Iter 19, Minibatch Loss= 8391.205404, Training Accuracy= 0.72667
Iter 20, Minibatch Loss= 5658.662598, Training Accuracy= 0.78667
Iter 21, Minibatch Loss= 5419.576009, Training Accuracy= 0.80667
Iter 22, Minibatch Loss= 5437.884196, Training Accuracy= 0.82667
Iter 23, Minibatch Loss= 4016.654378, Training Accuracy= 0.82667
Iter 24, Minibatch Loss= 4403.032389, Training Accuracy= 0.79333
Iter 25, Minibatch Loss= 3559.202393, Training Accuracy= 0.86667
Iter 26, Minibatch Loss= 4867.335124, Training Accuracy= 0.81333
Iter 27, Minibatch Loss= 7877.198079, Training Accuracy= 0.78667
Iter 28, Minibatch Loss= 4701.955811, Training Accuracy= 0.82000
Iter 29, Minibatch Loss= 3634.486572, Training Accuracy= 0.80667
Iter 30, Minibatch Loss= 2872.693339, Training Accuracy= 0.84667
Iter 31, Minibatch Loss= 3414.616740, Training Accuracy= 0.85333
Iter 32, Minibatch Loss= 2419.475382, Training Accuracy= 0.87333
Iter 33, Minibatch Loss= 1951.372355, Training Accuracy= 0.89333
Iter 34, Minibatch Loss= 2226.078979, Training Accuracy= 0.90000
Iter 35, Minibatch Loss= 571.761882, Training Accuracy= 0.94000
Iter 36, Minibatch Loss= 2193.586934, Training Accuracy= 0.88000
Iter 37, Minibatch Loss= 907.555196, Training Accuracy= 0.94667
Iter 38, Minibatch Loss= 2375.891683, Training Accuracy= 0.90667
Iter 39, Minibatch Loss= 2303.735881, Training Accuracy= 0.88667
Iter 40, Minibatch Loss= 544.568614, Training Accuracy= 0.92667
Iter 41, Minibatch Loss= 965.404449, Training Accuracy= 0.92667
Iter 42, Minibatch Loss= 1566.172363, Training Accuracy= 0.91333
Iter 43, Minibatch Loss= 1137.634701, Training Accuracy= 0.92667
Iter 44, Minibatch Loss= 1097.677307, Training Accuracy= 0.92667
Iter 45, Minibatch Loss= 1234.400757, Training Accuracy= 0.91333
Iter 46, Minibatch Loss= 504.778252, Training Accuracy= 0.97333
Iter 47, Minibatch Loss= 1223.218109, Training Accuracy= 0.92000
Iter 48, Minibatch Loss= 415.717448, Training Accuracy= 0.96000
Iter 49, Minibatch Loss= 1473.947154, Training Accuracy= 0.94000
Iter 50, Minibatch Loss= 704.071444, Training Accuracy= 0.94667
Iter 51, Minibatch Loss= 525.575033, Training Accuracy= 0.96667
Iter 52, Minibatch Loss= 614.514394, Training Accuracy= 0.96667
Iter 53, Minibatch Loss= 364.876477, Training Accuracy= 0.96000
Iter 54, Minibatch Loss= 229.175241, Training Accuracy= 0.97333
Iter 55, Minibatch Loss= 39.794296, Training Accuracy= 0.99333
Iter 56, Minibatch Loss= 713.807505, Training Accuracy= 0.93333
Iter 57, Minibatch Loss= 429.764514, Training Accuracy= 0.96000
Iter 58, Minibatch Loss= 806.456746, Training Accuracy= 0.94000
Iter 59, Minibatch Loss= 433.461405, Training Accuracy= 0.94667
Iter 60, Minibatch Loss= 393.237180, Training Accuracy= 0.96000
Iter 61, Minibatch Loss= 595.027893, Training Accuracy= 0.95333
Iter 62, Minibatch Loss= 245.282996, Training Accuracy= 0.98000
Iter 63, Minibatch Loss= 651.131490, Training Accuracy= 0.94667
Iter 64, Minibatch Loss= 125.743123, Training Accuracy= 0.97333
Iter 65, Minibatch Loss= 277.683238, Training Accuracy= 0.96667
Iter 66, Minibatch Loss= 272.532125, Training Accuracy= 0.97333
Iter 67, Minibatch Loss= 49.751276, Training Accuracy= 0.98000
Iter 68, Minibatch Loss= 351.626098, Training Accuracy= 0.95333
Iter 69, Minibatch Loss= 191.299138, Training Accuracy= 0.96667
Iter 70, Minibatch Loss= 368.742498, Training Accuracy= 0.95333
Iter 71, Minibatch Loss= 269.034968, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 320.073446, Training Accuracy= 0.96000
Iter 73, Minibatch Loss= 7.162552, Training Accuracy= 0.99333
Iter 74, Minibatch Loss= 318.833740, Training Accuracy= 0.98000
Iter 75, Minibatch Loss= 5.701406, Training Accuracy= 0.99333
Iter 76, Minibatch Loss= 110.926097, Training Accuracy= 0.98000
Iter 77, Minibatch Loss= 361.114634, Training Accuracy= 0.97333
Iter 78, Minibatch Loss= 446.716248, Training Accuracy= 0.97333
Iter 79, Minibatch Loss= 245.534429, Training Accuracy= 0.98667
Iter 80, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 81, Minibatch Loss= 429.361491, Training Accuracy= 0.98000
Iter 82, Minibatch Loss= 200.982992, Training Accuracy= 0.98000
Iter 83, Minibatch Loss= 132.188985, Training Accuracy= 0.99333
Iter 84, Minibatch Loss= 216.148305, Training Accuracy= 0.98667
Iter 85, Minibatch Loss= 343.310028, Training Accuracy= 0.96667
